Year,Month,Source,Producto,Etiqueta,Tamaño,Color,Cajas,Kilos,Importe_Venta
2024,Enero,bod,Cebolla ,SIN ETIQUETA,JB SELEC,,5,52.5,0.0
2024,Enero,bod,Cebolla ,SIN ETIQUETA,LG SEL,,8,80.0,0.0
2024,Enero,bod,Cebolla ,SIN ETIQUETA,LM MEX,,0,5.0,0.0
2024,Enero,bod,Cebolla ,SIN ETIQUETA,LM SELEC,,2,19.0,0.0
2024,Enero,bod,Cebolla ,SIN ETIQUETA,PP SELEC,,0,19.0,0.0
2024,Enero,bod,Cebolla Morada,SIN ETIQUETA,SIN TAMAÑO,,12,34.7,0.0
2024,Enero,bod,Jalapeño,SIN ETIQUETA,SIN TAMAÑO,,14,366.0,0.0
2024,Enero,bod,Morron ,BELL PEPPERS,XL,VERDE,1,0.0,0.0
2024,Enero,bod,Morron ,VEGETALES,XL,,1,0.0,0.0
2024,Enero,bod,Pepino,RUA,SELECTO,,79,0.0,0.0
2024,Enero,bod,Pepino,TRICAR,SSELE,,31,0.0,0.0
2024,Enero,bod,Pepino,RUA,XL,,109,0.0,0.0
2024,Enero,bod,Pepino,RUA,XXL,,10,0.0,0.0
2024,Enero,bod,Serrano,SIN ETIQUETA,SIN TAMAÑO,,1,169.68,0.0
2024,Enero,bod,Tomate Bola,GENERICA,3 X 4,,16,0.0,0.0
2024,Enero,bod,Tomate Bola,BIG TOM,4 X 4,,2,0.0,0.0
2024,Enero,bod,Tomate Bola,GREAT FARM,4 X 4,COLOR 4,4,0.0,0.0
2024,Enero,bod,Tomate Bola,GREEN LAND,4 X 5,,151,0.0,0.0
2024,Enero,bod,Tomate Bola,GREEN LAND,4 X 5,3.5,1,0.0,0.0
2024,Enero,bod,Tomate Bola,GREEN LAND,5 X 5,,2,0.0,0.0
2024,Enero,bod,Tomate Bola,KINGDOM FRESH,5 X 5,3.5,2,0.0,0.0
2024,Enero,bod,Tomate Bola,KINGDOM FRESH,5 X 5,COLOR 3,1,0.0,0.0
2024,Enero,bod,Tomate Bola,TOLIN,5 X 5,,42,0.0,0.0
2024,Enero,bod,Tomate Bola,CAMPO REAL,5 X 6,,4,0.0,0.0
2024,Enero,bod,Tomate Bola,GENERICA,5 X 6,,1,0.0,0.0
2024,Enero,bod,Tomate Bola,TOLIN,5 X 6,,32,0.0,0.0
2024,Enero,bod,Tomate Bola,TOMATOES ,5 X 6,,2,0.0,0.0
2024,Enero,bod,Tomate Bola,GENERICA,6 X 6,,14,0.0,0.0
2024,Enero,bod,Tomate Bola,GREEN LAND,6 X 6,,28,0.0,0.0
2024,Enero,bod,Tomate Bola,KINGDOM FRESH,6 X 6,COLOR 3,1,0.0,0.0
2024,Enero,bod,Tomate Bola,GREAT FARM,6 X 7,COLOR 4,16,0.0,0.0
2024,Enero,bod,Tomate Cherry,BULK GRAPE TOMATO,SIN TAMAÑO,,3,0.0,0.0
2024,Enero,bod,Tomate Saladete,MAYTE,1 ERA,,135,0.0,0.0
2024,Enero,bod,Tomate Saladete,DOÑA ESTHER,2 DA LG,,84,0.0,0.0
2024,Enero,bod,Tomate Saladete,DOÑA ESTHER,2 DA XL,,41,0.0,0.0
2024,Enero,bod,Tomate Saladete,DOÑA ESTHER,2 DA XXL,,301,0.0,0.0
2024,Enero,bod,Tomate Saladete,GENERICA,3 ERA,COLOR 3,13,0.0,0.0
2024,Enero,bod,Tomate Saladete,HERLIM,3 ERA,,27,0.0,0.0
2024,Enero,bod,Tomate Saladete,GENERICA,3 ERA XL,,96,0.0,0.0
2024,Enero,bod,Tomate Saladete,AGRODESERT,LG,,4,0.0,0.0
2024,Enero,bod,Tomate Saladete,AMOS,LG,,6,0.0,0.0
2024,Enero,bod,Tomate Saladete,BIG TOM,LG,,104,0.0,0.0
2024,Enero,bod,Tomate Saladete,DON CHECHE,LG,,2,0.0,0.0
2024,Enero,bod,Tomate Saladete,GABO,LG,,1,0.0,0.0
2024,Enero,bod,Tomate Saladete,GENERICA,LG,,60,0.0,0.0
2024,Enero,bod,Tomate Saladete,TORERO,LG,,1,0.0,0.0
2024,Enero,bod,Tomate Saladete,ABA,MD,,1,0.0,0.0
2024,Enero,bod,Tomate Saladete,BANDERILLAS,MD,,1,0.0,0.0
2024,Enero,bod,Tomate Saladete,BIG TOM,MD,,68,0.0,0.0
2024,Enero,bod,Tomate Saladete,DOÑA ESTHER,MD,,26,0.0,0.0
2024,Enero,bod,Tomate Saladete,EL SILLAR,MD,,2,0.0,0.0
2024,Enero,bod,Tomate Saladete,ESTRELLA,MD,,15,0.0,0.0
2024,Enero,bod,Tomate Saladete,GENERICA,MD,,52,0.0,0.0
2024,Enero,bod,Tomate Saladete,GENERICA,MD,COLOR 3,4,0.0,0.0
2024,Enero,bod,Tomate Saladete,MAYTE,MD,,52,0.0,0.0
2024,Enero,bod,Tomate Saladete,MAYTE,MD,COLOR 3,52,0.0,0.0
2024,Enero,bod,Tomate Saladete,TOMATOES ,MD,,3,0.0,0.0
2024,Enero,bod,Tomate Saladete,TOMATOES ,MD,COLOR 3,1,0.0,0.0
2024,Enero,bod,Tomate Saladete,MAYTE,PAPEL,,5,0.0,0.0
2024,Enero,bod,Tomate Saladete,ANGELITA,SM,,42,0.0,0.0
2024,Enero,bod,Tomate Saladete,BARBOSA ,SM,,8,0.0,0.0
2024,Enero,bod,Tomate Saladete,BONANZA,SM,,57,0.0,0.0
2024,Enero,bod,Tomate Saladete,GENERICA,SM,,14,0.0,0.0
2024,Enero,bod,Tomate Saladete,MAYTE,SM,,28,0.0,0.0
2024,Enero,bod,Tomate Saladete,TOMATOES ,SM,COLOR 4,6,0.0,0.0
2024,Enero,bod,Tomate Saladete,AGRODESERT,XL,,262,0.0,0.0
2024,Enero,bod,Tomate Saladete,BANDERILLAS,XL,,5,0.0,0.0
2024,Enero,bod,Tomate Saladete,DOÑA ESTHER,XL,,217,0.0,0.0
2024,Enero,bod,Tomate Saladete,EL SILLAR,XL,,6,0.0,0.0
2024,Enero,bod,Tomate Saladete,GENERICA,XL,,44,0.0,0.0
2024,Enero,bod,Tomate Saladete,KALIFRESH,XL,,60,0.0,0.0
2024,Enero,bod,Tomate Saladete,MAYTE,XL,,4,0.0,0.0
2024,Enero,bod,Tomate Saladete,MAYTE,XL,COLOR 3,40,0.0,0.0
2024,Enero,bod,Tomate Saladete,RUDY,XL,,59,0.0,0.0
2024,Enero,bod,Tomate Saladete,SELECT TOMATE ,XL,,15,0.0,0.0
2024,Enero,bod,Tomate Saladete,SELECT TOMATE ,XL,COLOR 3,27,0.0,0.0
2024,Enero,bod,Tomate Saladete,SELECTO,XL,,79,0.0,0.0
2024,Enero,bod,Tomate Saladete,AGRODESERT,XXL,,1,0.0,0.0
2024,Enero,bod,Tomate Saladete,ARTOM,XXL,COLOR 2,4,0.0,0.0
2024,Enero,bod,Tomate Saladete,BIG TOM,XXL,,88,0.0,0.0
2024,Enero,bod,Tomate Saladete,DOÑA ESTHER,XXL,,159,0.0,0.0
2024,Enero,bod,Tomate Saladete,EXCELLENT,XXL,,2,0.0,0.0
2024,Enero,bod,Tomate Saladete,GENERICA,XXL,,19,0.0,0.0
2024,Enero,bod,Tomate Saladete,KRAFT 3ERA,XXL,,57,0.0,0.0
2024,Enero,bod,Tomate Saladete,SELECT TOMATE ,XXL,,108,0.0,0.0
2024,Febrero,bod,Cebolla ,SIN ETIQUETA,JB SELEC,,0,26.0,0.0
2024,Febrero,bod,Cebolla ,SIN ETIQUETA,JB SELEC,S/C,0,18.0,0.0
2024,Febrero,bod,Cebolla ,SIN ETIQUETA,LG SEL,,0,40.5,0.0
2024,Febrero,bod,Cebolla ,SELECTO,LM MEX,,2,37.4,0.0
2024,Febrero,bod,Cebolla ,SIN ETIQUETA,LM MEX,,1,93.1,0.0
2024,Febrero,bod,Cebolla ,SIN ETIQUETA,LM MEX,S/C,0,6.5,0.0
2024,Febrero,bod,Cebolla ,SIN ETIQUETA,LM SELEC,,8,14.64,0.0
2024,Febrero,bod,Cebolla Morada,SIN ETIQUETA,SIN TAMAÑO,,0,40.5,0.0
2024,Febrero,bod,Cebolla amarilla,SIN ETIQUETA,SIN TAMAÑO,,8,71.4,0.0
2024,Febrero,bod,Jalapeño,SIN ETIQUETA,SIN TAMAÑO,,1,20.5,0.0
2024,Febrero,bod,Morron ,FARMERS,LG,,1,0.0,0.0
2024,Febrero,bod,Morron ,MIKE,LG,,2,0.0,0.0
2024,Febrero,bod,Serrano,SIN ETIQUETA,SIN TAMAÑO,,0,57.0,0.0
2024,Febrero,bod,Tomate Bola,GENERICA,3 X 4,,44,0.0,0.0
2024,Febrero,bod,Tomate Bola,TOMATOES ,3 X 4,,43,0.0,0.0
2024,Febrero,bod,Tomate Bola,BIG TOM,4 X 4,,30,0.0,0.0
2024,Febrero,bod,Tomate Bola,GENERICA,4 X 4,,2,0.0,0.0
2024,Febrero,bod,Tomate Bola,GREEN LAND,4 X 4,3.5,239,0.0,0.0
2024,Febrero,bod,Tomate Bola,TOMATOES ,4 X 4,,47,0.0,0.0
2024,Febrero,bod,Tomate Bola,BIG TOM,4 X 5,,34,0.0,0.0
2024,Febrero,bod,Tomate Bola,GENERICA,4 X 5,,56,0.0,0.0
2024,Febrero,bod,Tomate Bola,GREEN LAND,4 X 5,3.5,305,0.0,0.0
2024,Febrero,bod,Tomate Bola,BIG TOM,5 X 5,,19,0.0,0.0
2024,Febrero,bod,Tomate Bola,GENERICA,5 X 5,,2,0.0,0.0
2024,Febrero,bod,Tomate Bola,GREEN LAND,5 X 5,3.5,589,0.0,0.0
2024,Febrero,bod,Tomate Bola,GREEN LAND,5 X 5,COLOR 3,5,0.0,0.0
2024,Febrero,bod,Tomate Bola,KINGDOM FRESH,5 X 5,COLOR 2,9,0.0,0.0
2024,Febrero,bod,Tomate Bola,TOMATOES ,5 X 5,,1,0.0,0.0
2024,Febrero,bod,Tomate Bola,BIG TOM,5 X 6,,76,0.0,0.0
2024,Febrero,bod,Tomate Bola,CAMPO REAL,5 X 6,,2,0.0,0.0
2024,Febrero,bod,Tomate Bola,GENERICA,5 X 6,,16,0.0,0.0
2024,Febrero,bod,Tomate Bola,GENERICA,5 X 6,COLOR 1,9,0.0,0.0
2024,Febrero,bod,Tomate Bola,GREEN LAND,5 X 6,3.5,207,0.0,0.0
2024,Febrero,bod,Tomate Bola,GREEN LAND,5 X 6,COLOR 3,27,0.0,0.0
2024,Febrero,bod,Tomate Bola,KINGDOM FRESH,5 X 6,3.5,54,0.0,0.0
2024,Febrero,bod,Tomate Bola,TOMATOES ,5 X 6,,4,0.0,0.0
2024,Febrero,bod,Tomate Bola,BIG TOM,6 X 6,,3,0.0,0.0
2024,Febrero,bod,Tomate Bola,GREEN LAND,6 X 6,COLOR 3,2,0.0,0.0
2024,Febrero,bod,Tomate Bola,KINGDOM FRESH,6 X 6,3.5,80,0.0,0.0
2024,Febrero,bod,Tomate Bola,KINGDOM FRESH,6 X 6,COLOR 3,5,0.0,0.0
2024,Febrero,bod,Tomate Cherry,BULK GRAPE TOMATO,SIN TAMAÑO,,229,0.0,0.0
2024,Febrero,bod,Tomate Cherry,GENERICA,SIN TAMAÑO,,1,0.0,0.0
2024,Febrero,bod,Tomate Cherry,SIN ETIQUETA,SIN TAMAÑO,,11,0.0,0.0
2024,Febrero,bod,Tomate Saladete,BLACK JACK,3 ERA,,42,0.0,0.0
2024,Febrero,bod,Tomate Saladete,AMOS,LG,,97,0.0,0.0
2024,Febrero,bod,Tomate Saladete,BANDERILLAS,LG,,64,0.0,0.0
2024,Febrero,bod,Tomate Saladete,BARAJAS,LG,,82,0.0,0.0
2024,Febrero,bod,Tomate Saladete,BARBOSA ,LG,,42,0.0,0.0
2024,Febrero,bod,Tomate Saladete,BIG TOM,LG,,138,0.0,0.0
2024,Febrero,bod,Tomate Saladete,GABO,LG,,24,0.0,0.0
2024,Febrero,bod,Tomate Saladete,GABO,LG,COLOR 3,10,0.0,0.0
2024,Febrero,bod,Tomate Saladete,GABO,LG,COLOR 4,16,0.0,0.0
2024,Febrero,bod,Tomate Saladete,LAURITA ,LG,,23,0.0,0.0
2024,Febrero,bod,Tomate Saladete,SAN JOSE,LG,,3,0.0,0.0
2024,Febrero,bod,Tomate Saladete,TORERO,LG,,63,0.0,0.0
2024,Febrero,bod,Tomate Saladete,BANDERILLAS,MD,,12,0.0,0.0
2024,Febrero,bod,Tomate Saladete,BIG TOM,MD,,105,0.0,0.0
2024,Febrero,bod,Tomate Saladete,FRESH VEGETALES,MD,,16,0.0,0.0
2024,Febrero,bod,Tomate Saladete,GENERICA,MD,,14,0.0,0.0
2024,Febrero,bod,Tomate Saladete,SAN JOSE,MD,COLOR 3,2,0.0,0.0
2024,Febrero,bod,Tomate Saladete,TOMATOES ,MD,,6,0.0,0.0
2024,Febrero,bod,Tomate Saladete,TROPICAL BEST,MD,,19,0.0,0.0
2024,Febrero,bod,Tomate Saladete,GABO,NACIONAL 1-1/9,,3,0.0,0.0
2024,Febrero,bod,Tomate Saladete,BARBOSA ,SM,,2,0.0,0.0
2024,Febrero,bod,Tomate Saladete,BIG TOM,SM,,20,0.0,0.0
2024,Febrero,bod,Tomate Saladete,CASA BLANCA,SM,,7,0.0,0.0
2024,Febrero,bod,Tomate Saladete,DON CHECHE,SM,,6,0.0,0.0
2024,Febrero,bod,Tomate Saladete,EL SILLAR,SM,,23,0.0,0.0
2024,Febrero,bod,Tomate Saladete,GENERICA,SM,,16,0.0,0.0
2024,Febrero,bod,Tomate Saladete,TROPICAL BEST,SM,,1,0.0,0.0
2024,Febrero,bod,Tomate Saladete,YEYO´S,SM,,8,0.0,0.0
2024,Febrero,bod,Tomate Saladete,BANDERILLAS,XL,,89,0.0,0.0
2024,Febrero,bod,Tomate Saladete,FRESH 2U,XL,,14,0.0,0.0
2024,Febrero,bod,Tomate Saladete,GENERICA,XL,,85,0.0,0.0
2024,Febrero,bod,Tomate Saladete,RUDY,XL,,91,0.0,0.0
2024,Febrero,bod,Tomate Saladete,TORERO,XL,,6,0.0,0.0
2024,Febrero,bod,Tomate Saladete,BIG TOM,XXL,,270,0.0,0.0
2024,Febrero,bod,Tomate Saladete,GABO,XXL,,4,0.0,0.0
2024,Febrero,bod,Tomate Saladete,GABO,XXL,COLOR 3,53,0.0,0.0
2024,Febrero,bod,Tomate Saladete,GABO,XXL,COLOR 4,4,0.0,0.0
2024,Marzo,bod,Cebolla ,SIN ETIQUETA,JB MEX,,1,38.5,0.0
2024,Marzo,bod,Cebolla ,SIN ETIQUETA,JB SELEC,,7,60.5,0.0
2024,Marzo,bod,Cebolla ,SIN ETIQUETA,JB SELEC,S/C,0,26.0,0.0
2024,Marzo,bod,Cebolla ,SIN ETIQUETA,LG MEX,S/C,10,87.5,0.0
2024,Marzo,bod,Cebolla ,SIN ETIQUETA,LG SEL,,0,14.0,0.0
2024,Marzo,bod,Cebolla ,SIN ETIQUETA,LM MEX,,23,460.0,0.0
2024,Marzo,bod,Cebolla Morada,SIN ETIQUETA,SIN TAMAÑO,,36,317.0,0.0
2024,Marzo,bod,Cebolla amarilla,SIN ETIQUETA,SIN TAMAÑO,,0,34.5,0.0
2024,Marzo,bod,Jalapeño,SIN ETIQUETA,SIN TAMAÑO,,21,554.5,0.0
2024,Marzo,bod,Morron ,TRICAR,XL,,2,0.0,0.0
2024,Marzo,bod,Tomate Bola,GENERICA,3 X 4,,68,0.0,0.0
2024,Marzo,bod,Tomate Bola,TOMATOES ,3 X 4,,3,0.0,0.0
2024,Marzo,bod,Tomate Bola,BIG TOM,4 X 4,,337,0.0,0.0
2024,Marzo,bod,Tomate Bola,GENERICA,4 X 4,,5,0.0,0.0
2024,Marzo,bod,Tomate Bola,TOMATOES ,4 X 4,,3,0.0,0.0
2024,Marzo,bod,Tomate Bola,BIG TOM,4 X 5,,4,0.0,0.0
2024,Marzo,bod,Tomate Bola,TOMATOES ,4 X 5,,1,0.0,0.0
2024,Marzo,bod,Tomate Bola,BIG TOM,5 X 5,,383,0.0,0.0
2024,Marzo,bod,Tomate Bola,GENERICA,5 X 5,,88,0.0,0.0
2024,Marzo,bod,Tomate Bola,TOMATOES ,5 X 5,,304,0.0,0.0
2024,Marzo,bod,Tomate Bola,BIG TOM,5 X 6,,156,0.0,0.0
2024,Marzo,bod,Tomate Bola,CAMPO REAL,5 X 6,,180,0.0,0.0
2024,Marzo,bod,Tomate Bola,GENERICA,5 X 6,,469,0.0,0.0
2024,Marzo,bod,Tomate Bola,TOMATOES ,5 X 6,,103,0.0,0.0
2024,Marzo,bod,Tomate Bola,BIG TOM,6 X 6,,47,0.0,0.0
2024,Marzo,bod,Tomate Cherry,BULK GRAPE TOMATO,SIN TAMAÑO,,20,0.0,0.0
2024,Marzo,bod,Tomate Cherry,GENERICA,SIN TAMAÑO,,13,0.0,0.0
2024,Marzo,bod,Tomate Saladete,ANA,LG,,39,0.0,0.0
2024,Marzo,bod,Tomate Saladete,BANDERILLAS,LG,,232,0.0,0.0
2024,Marzo,bod,Tomate Saladete,BETA,LG,,77,0.0,0.0
2024,Marzo,bod,Tomate Saladete,BIG TOM,LG,,182,0.0,0.0
2024,Marzo,bod,Tomate Saladete,BINGO,LG,,34,0.0,0.0
2024,Marzo,bod,Tomate Saladete,CHICURAL,LG,,358,0.0,0.0
2024,Marzo,bod,Tomate Saladete,KALIFRESH,LG,,2,0.0,0.0
2024,Marzo,bod,Tomate Saladete,REDLAND,LG,,56,0.0,0.0
2024,Marzo,bod,Tomate Saladete,SAN JOSE,LG,,27,0.0,0.0
2024,Marzo,bod,Tomate Saladete,TOMATOES ,LG,,2,0.0,0.0
2024,Marzo,bod,Tomate Saladete,TORERO,LG,,1,0.0,0.0
2024,Marzo,bod,Tomate Saladete,YEYO´S,LG,,149,0.0,0.0
2024,Marzo,bod,Tomate Saladete,ZAMORA,LG,,172,0.0,0.0
2024,Marzo,bod,Tomate Saladete,AMIS,MD,COLOR 3,1,0.0,0.0
2024,Marzo,bod,Tomate Saladete,BANDERILLAS,MD,,132,0.0,0.0
2024,Marzo,bod,Tomate Saladete,BIG TOM,MD,,144,0.0,0.0
2024,Marzo,bod,Tomate Saladete,BINGO,MD,,30,0.0,0.0
2024,Marzo,bod,Tomate Saladete,CATALINA,MD,,36,0.0,0.0
2024,Marzo,bod,Tomate Saladete,CHICURAL,MD,,36,0.0,0.0
2024,Marzo,bod,Tomate Saladete,GENERICA,MD,,119,0.0,0.0
2024,Marzo,bod,Tomate Saladete,REDLAND,MD,,7,0.0,0.0
2024,Marzo,bod,Tomate Saladete,SAN JOSE,MD,,128,0.0,0.0
2024,Marzo,bod,Tomate Saladete,TOMATOES ,MD,,57,0.0,0.0
2024,Marzo,bod,Tomate Saladete,VIOLETA,MD,COLOR 2,24,0.0,0.0
2024,Marzo,bod,Tomate Saladete,VIOLETA,MD,COLOR 3,1,0.0,0.0
2024,Marzo,bod,Tomate Saladete,YEYO´S,MD,,16,0.0,0.0
2024,Marzo,bod,Tomate Saladete,BLACK JACK,MIXTO ORIGINAL,,76,0.0,0.0
2024,Marzo,bod,Tomate Saladete,CHICURAL,SM,,55,0.0,0.0
2024,Marzo,bod,Tomate Saladete,GABO,SM,,10,0.0,0.0
2024,Marzo,bod,Tomate Saladete,REDLAND,SM,,40,0.0,0.0
2024,Marzo,bod,Tomate Saladete,VILLA,SM,,4,0.0,0.0
2024,Marzo,bod,Tomate Saladete,YEYO´S,SM,,23,0.0,0.0
2024,Marzo,bod,Tomate Saladete,BANDERILLAS,XL,,98,0.0,0.0
2024,Marzo,bod,Tomate Saladete,BIG TOM,XL,,1,0.0,0.0
2024,Marzo,bod,Tomate Saladete,BINGO,XL,,8,0.0,0.0
2024,Marzo,bod,Tomate Saladete,CHICURAL,XL,,205,0.0,0.0
2024,Marzo,bod,Tomate Saladete,MAXXI,XL,,40,0.0,0.0
2024,Marzo,bod,Tomate Saladete,REDLAND,XL,,2,0.0,0.0
2024,Marzo,bod,Tomate Saladete,TOMATOES ,XL,,20,0.0,0.0
2024,Marzo,bod,Tomate Saladete,TORERO,XL,,8,0.0,0.0
2024,Marzo,bod,Tomate Saladete,VICTORIA,XL,,6,0.0,0.0
2024,Marzo,bod,Tomate Saladete,VIOLETA,XL,COLOR 2,8,0.0,0.0
2024,Marzo,bod,Tomate Saladete,VIOLETA,XL,COLOR 3,103,0.0,0.0
2024,Marzo,bod,Tomate Saladete,ZAMORA,XL,,17,0.0,0.0
2024,Marzo,bod,Tomate Saladete,BIG TOM,XXL,,81,0.0,0.0
2024,Marzo,bod,Tomate Saladete,GABO,XXL,,4,0.0,0.0
2024,Marzo,bod,Tomate Saladete,GENERICA,XXL,,171,0.0,0.0
2024,Marzo,bod,Tomate Saladete,KALIFRESH,XXL,,1,0.0,0.0
2024,Marzo,bod,Tomate Saladete,PACIFIC,XXL,,45,0.0,0.0
2024,Marzo,bod,Tomate Saladete,SAN JOSE,XXL,,54,0.0,0.0
2024,Abril,bod,Cebolla ,SIN ETIQUETA,JB MEX,,5,192.0,0.0
2024,Abril,bod,Cebolla ,SIN ETIQUETA,LG MEX,S/C,6,40.5,0.0
2024,Abril,bod,Cebolla ,SIN ETIQUETA,LG SEL,,2,81.5,0.0
2024,Abril,bod,Cebolla ,SIN ETIQUETA,LM MEX,,8,8.0,0.0
2024,Abril,bod,Cebolla ,SIN ETIQUETA,LM SELEC,,0,25.0,0.0
2024,Abril,bod,Cebolla ,SIN ETIQUETA,LM SELEC,S/C,1,28.0,0.0
2024,Abril,bod,Cebolla Morada,SIN ETIQUETA,SIN TAMAÑO,,4,81.0,0.0
2024,Abril,bod,Cebolla amarilla,SIN ETIQUETA,SIN TAMAÑO,,0,8.5,0.0
2024,Abril,bod,Jalapeño,BLACK JACK,SIN TAMAÑO,,8,0.5,0.0
2024,Abril,bod,Morron ,FARMERS,CHOPER,,27,0.0,0.0
2024,Abril,bod,Tomate Bola,GENERICA,3 X 4,,226,0.0,0.0
2024,Abril,bod,Tomate Bola,TOMATOES ,3 X 4,,149,0.0,0.0
2024,Abril,bod,Tomate Bola,BIG TOM,4 X 4,,121,0.0,0.0
2024,Abril,bod,Tomate Bola,GENERICA,4 X 4,,1135,0.0,0.0
2024,Abril,bod,Tomate Bola,BIG TOM,4 X 5,,15,0.0,0.0
2024,Abril,bod,Tomate Bola,GENERICA,4 X 5,,256,0.0,0.0
2024,Abril,bod,Tomate Bola,TOMATOES ,4 X 5,,430,0.0,0.0
2024,Abril,bod,Tomate Bola,BIG TOM,5 X 5,,141,0.0,0.0
2024,Abril,bod,Tomate Bola,GENERICA,5 X 5,,88,0.0,0.0
2024,Abril,bod,Tomate Bola,TOMATOES ,5 X 5,,2,0.0,0.0
2024,Abril,bod,Tomate Bola,AMOS,5 X 6,,288,0.0,0.0
2024,Abril,bod,Tomate Bola,BIG TOM,5 X 6,,91,0.0,0.0
2024,Abril,bod,Tomate Bola,CAMPO REAL,5 X 6,COLOR 3,136,0.0,0.0
2024,Abril,bod,Tomate Bola,GENERICA,5 X 6,,162,0.0,0.0
2024,Abril,bod,Tomate Bola,TOMATOES ,5 X 6,,3,0.0,0.0
2024,Abril,bod,Tomate Bola,TOMATOES ,5 X 6 X 2,,213,0.0,0.0
2024,Abril,bod,Tomate Bola,BIG TOM,6 X 6,,340,0.0,0.0
2024,Abril,bod,Tomate Cherry,BULK GRAPE TOMATO,SIN TAMAÑO,,113,0.0,0.0
2024,Abril,bod,Tomate Cherry,SIN ETIQUETA,SIN TAMAÑO,,3,0.0,0.0
2024,Abril,bod,Tomate Saladete,VIOLETA,1 ERA,,232,0.0,0.0
2024,Abril,bod,Tomate Saladete,FRESH TOMATOES,3 ERA,,90,0.0,0.0
2024,Abril,bod,Tomate Saladete,SUNNY,3 ERA,,146,0.0,0.0
2024,Abril,bod,Tomate Saladete,BANDERILLAS,LG,,138,0.0,0.0
2024,Abril,bod,Tomate Saladete,BIG TOM,LG,,478,0.0,0.0
2024,Abril,bod,Tomate Saladete,CATALINA,LG,,75,0.0,0.0
2024,Abril,bod,Tomate Saladete,CHELITA,LG,,39,0.0,0.0
2024,Abril,bod,Tomate Saladete,EL SILLAR,LG,,19,0.0,0.0
2024,Abril,bod,Tomate Saladete,FRESH TOMATOES,LG,,1,0.0,0.0
2024,Abril,bod,Tomate Saladete,GABO,LG,,61,0.0,0.0
2024,Abril,bod,Tomate Saladete,GABO,LG,COLOR 4,94,0.0,0.0
2024,Abril,bod,Tomate Saladete,GENERICA,LG,,43,0.0,0.0
2024,Abril,bod,Tomate Saladete,KALIFRESH,LG,,14,0.0,0.0
2024,Abril,bod,Tomate Saladete,MYL,LG,COLOR 3,14,0.0,0.0
2024,Abril,bod,Tomate Saladete,SERGIO'S,LG,,6,0.0,0.0
2024,Abril,bod,Tomate Saladete,TRIDAN,LG,,64,0.0,0.0
2024,Abril,bod,Tomate Saladete,VICTORIA,LG,,109,0.0,0.0
2024,Abril,bod,Tomate Saladete,ZAMORA,LG,,62,0.0,0.0
2024,Abril,bod,Tomate Saladete,AMIS,MD,,6,0.0,0.0
2024,Abril,bod,Tomate Saladete,BANDERILLAS,MD,,20,0.0,0.0
2024,Abril,bod,Tomate Saladete,BIG TOM,MD,,761,0.0,0.0
2024,Abril,bod,Tomate Saladete,EL SILLAR,MD,,49,0.0,0.0
2024,Abril,bod,Tomate Saladete,FARAH,MD,,210,0.0,0.0
2024,Abril,bod,Tomate Saladete,GENERICA,MD,,88,0.0,0.0
2024,Abril,bod,Tomate Saladete,MYL,MD,COLOR 3,4,0.0,0.0
2024,Abril,bod,Tomate Saladete,REDLAND,MD,,235,0.0,0.0
2024,Abril,bod,Tomate Saladete,SAN JOSE,MD,,106,0.0,0.0
2024,Abril,bod,Tomate Saladete,TRIDAN,MD,,2,0.0,0.0
2024,Abril,bod,Tomate Saladete,VIOLETA,MD,,425,0.0,0.0
2024,Abril,bod,Tomate Saladete,376,NACIONAL 1-1/9,,47,0.0,0.0
2024,Abril,bod,Tomate Saladete,ABDON,SM,,2,0.0,0.0
2024,Abril,bod,Tomate Saladete,AMIS,SM,,22,0.0,0.0
2024,Abril,bod,Tomate Saladete,AMIS,SM,COLOR 3,22,0.0,0.0
2024,Abril,bod,Tomate Saladete,CATALINA,SM,,260,0.0,0.0
2024,Abril,bod,Tomate Saladete,FARAH,SM,,147,0.0,0.0
2024,Abril,bod,Tomate Saladete,FRESH TOMATOES,SM,,11,0.0,0.0
2024,Abril,bod,Tomate Saladete,GABO,SM,COLOR 3,13,0.0,0.0
2024,Abril,bod,Tomate Saladete,REDLAND,SM,,98,0.0,0.0
2024,Abril,bod,Tomate Saladete,SERGIO'S,SM,,64,0.0,0.0
2024,Abril,bod,Tomate Saladete,VICTORIA,SM,,1,0.0,0.0
2024,Abril,bod,Tomate Saladete,VIOLETA,SM,,57,0.0,0.0
2024,Abril,bod,Tomate Saladete,CATALINA,SSM,,132,0.0,0.0
2024,Abril,bod,Tomate Saladete,AMIS,XL,COLOR 4,46,0.0,0.0
2024,Abril,bod,Tomate Saladete,BANDERILLAS,XL,,174,0.0,0.0
2024,Abril,bod,Tomate Saladete,BIG TOM,XL,,219,0.0,0.0
2024,Abril,bod,Tomate Saladete,FARAH,XL,,162,0.0,0.0
2024,Abril,bod,Tomate Saladete,LITTLE JOE,XL,,2,0.0,0.0
2024,Abril,bod,Tomate Saladete,VIOLETA,XL,,3,0.0,0.0
2024,Abril,bod,Tomate Saladete,BIG TOM,XXL,,64,0.0,0.0
2024,Abril,bod,Tomate Saladete,FRESH TOMATOES,XXL,,2,0.0,0.0
2024,Abril,bod,Tomate Saladete,GENERICA,XXL,,44,0.0,0.0
2024,Abril,bod,Tomate Saladete,LITTLE JOE,XXL,,2,0.0,0.0
